"Effect","beta_logit","SE","z","p","OR","OR_95CI_low","OR_95CI_high"
"(Intercept)",3.99659912699603,0.170640381968549,23.4211801502687,"<.001",54.4127840403912,38.9447501283483,76.0243950023725
"group1",0.289045077417442,0.0920983887068038,3.13843794094617,"0.002",1.33515191237213,1.11464083902206,1.59928702296155
"session1",-0.174199277906785,0.027250144417532,-6.39260017259615,"<.001",0.840129461735282,0.796435158512626,0.886220937048732
"switch1",0.202253966864417,0.0289534192431166,6.98549505210859,"<.001",1.22415886442443,1.15662382436167,1.29563726233632
"congruency1",0.440278883084779,0.0404865642529804,10.8746911773915,"<.001",1.55314030267731,1.43465616918819,1.68140970053163
"cue1",-0.00954318210228348,0.0203552927347029,-0.468830501563542,"0.639",0.990502209551671,0.951762684872649,1.03081854617784
"sex1",0.0346740470500853,0.160461429929488,0.216089605242346,"0.829",1.03528220050945,0.755911966802272,1.41790219200492
"sex2",-0.203781220267329,0.193084137659414,-1.055401146555,"0.291",0.815640797344166,0.55865334627269,1.19084565541561
"group1:session1",-0.0716211605755879,0.027250153832135,-2.62828463342941,"0.009",0.930883484383181,0.882469137827417,0.981953956634392
"group1:switch1",0.135728202016245,0.028952603229293,4.68794467085849,"<.001",1.14537054188046,1.08218386826301,1.21224656611561
"session1:switch1",0.0453285111481319,0.0237495547232956,1.90860467390868,"0.056",1.04637154817158,0.998780128539308,1.0962306773406
"group1:congruency1",0.102766670705635,0.0404816622575813,2.53859809539787,"0.011",1.10823279572993,1.02369907635398,1.19974703299106
"session1:congruency1",-0.0861741960756932,0.0238473200394883,-3.61357988792866,"<.001",0.91743440382705,0.875539559400917,0.961333929790008
"switch1:congruency1",-0.0335712409467129,0.0239466150317664,-1.40192010028052,"0.161",0.966986019777979,0.922648808168255,1.01345382356527
"group1:session1:switch1",0.00998279277022386,0.0237494743482394,0.420337419845417,"0.674",1.01003278706839,0.964094290963275,1.05816022407294
"group1:session1:congruency1",-0.0324967487763611,0.0238473150522826,-1.36270052645825,"0.173",0.968025597093894,0.923820503697675,1.01434591771699
"group1:switch1:congruency1",-0.0102279335811637,0.0239467406181059,-0.427111720307794,"0.669",0.989824193861462,0.944439598179326,1.03738972470261
"session1:switch1:congruency1",-0.00535003231441795,0.0237088153296873,-0.225655826325444,"0.821",0.994664253620373,0.949500416231638,1.04197634936983
"group1:session1:switch1:congruency1",-0.0328681970928614,0.0237088038553628,-1.38632877868391,"0.166",0.967666092388367,0.923728157330735,1.01369397362963
