"Effect","Chisq","Df","p"
"(Intercept)",548.551679631339,1,"<.001"
"group",9.84979270917045,1,"0.002"
"session",40.8653369666764,1,"<.001"
"switch",48.7971411230335,1,"<.001"
"congruency",118.258908203636,1,"<.001"
"cue",0.219802039196322,1,"0.639"
"sex",1.6706703453862,2,"0.434"
"group:session",6.90788011432117,1,"0.009"
"group:switch",21.9768252370305,1,"<.001"
"session:switch",3.64277180126606,1,"0.056"
"group:congruency",6.44448028995768,1,"0.011"
"session:congruency",13.0579596064425,1,"<.001"
"switch:congruency",1.96537996757053,1,"0.161"
"group:session:switch",0.176683546522302,1,"0.674"
"group:session:congruency",1.85695272480958,1,"0.173"
"group:switch:congruency",0.182424421624283,1,"0.669"
"session:switch:congruency",0.050920551954619,1,"0.821"
"group:session:switch:congruency",1.92190748260721,1,"0.166"
