"switch","congruency","session","group","prob","SE","df","asymp.LCL","asymp.UCL"
"repeat","congruent","1","old",0.991636457162223,0.00194283243262431,Inf,0.986827178076261,0.994699342867798
"switch","congruent","1","old",0.984524829867311,0.00322391244931171,Inf,0.976755974134023,0.98972441567273
"repeat","incongruent","1","old",0.983548657631504,0.00365489734090821,Inf,0.974618935402694,0.989370933148711
"switch","incongruent","1","old",0.958518379193894,0.00828386528970525,Inf,0.93887695272043,0.972036170143637
"repeat","congruent","2","old",0.995807559743904,0.00109430854961843,Inf,0.99301186192301,0.997487631121577
"switch","congruent","2","old",0.992725587475112,0.0016868166357507,Inf,0.988550316772375,0.995385400713346
"repeat","incongruent","2","old",0.984602001312758,0.00345988034913519,Inf,0.976123982687088,0.990100133338733
"switch","incongruent","2","old",0.97291973451245,0.0056340473680613,Inf,0.959393613472374,0.982024677519724
"repeat","congruent","1","young",0.981922725865022,0.00385885806450822,Inf,0.972582453108402,0.988119936508407
"switch","congruent","1","young",0.97774678769311,0.00448763082129024,Inf,0.967026382622581,0.985035702710326
"repeat","incongruent","1","young",0.968288104015784,0.00673095400504665,Inf,0.952084033320288,0.979132439039568
"switch","incongruent","1","young",0.961707067125485,0.00773613871698226,Inf,0.943305664525526,0.974298616326133
"repeat","congruent","2","young",0.984956335933799,0.0032156657409973,Inf,0.977163380378865,0.990116856153335
"switch","congruent","2","young",0.98552859134515,0.00299210799597878,Inf,0.978327718789159,0.990360462788291
"repeat","incongruent","2","young",0.970715754795232,0.00613700198696917,Inf,0.95596976443764,0.980623323932452
"switch","incongruent","2","young",0.965673263118305,0.00682307386779579,Inf,0.949476564365608,0.976804504410116
