"Effect","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.99659912699603,0.170640381968549,23.4211801502687,2.60051522398864e-121
"group1",0.289045077417442,0.0920983887068038,3.13843794094617,0.00169850897401932
"session1",-0.174199277906785,0.027250144417532,-6.39260017259615,1.63088313626422e-10
"switch1",0.202253966864417,0.0289534192431166,6.98549505210859,2.83853266555048e-12
"congruency1",0.440278883084779,0.0404865642529804,10.8746911773915,1.52170220074494e-27
"cue1",-0.00954318210228348,0.0203552927347029,-0.468830501563542,0.639190795970967
"sex1",0.0346740470500853,0.160461429929488,0.216089605242346,0.828917902125277
"sex2",-0.203781220267329,0.193084137659414,-1.055401146555,0.291241898737982
"group1:session1",-0.0716211605755879,0.027250153832135,-2.62828463342941,0.00858166765445051
"group1:switch1",0.135728202016245,0.028952603229293,4.68794467085849,2.75962600084967e-06
"session1:switch1",0.0453285111481319,0.0237495547232956,1.90860467390868,0.0563131085411423
"group1:congruency1",0.102766670705635,0.0404816622575813,2.53859809539787,0.0111297596638891
"session1:congruency1",-0.0861741960756932,0.0238473200394883,-3.61357988792866,0.000301998248044725
"switch1:congruency1",-0.0335712409467129,0.0239466150317664,-1.40192010028052,0.160939107448767
"group1:session1:switch1",0.00998279277022386,0.0237494743482394,0.420337419845417,0.674238977417381
"group1:session1:congruency1",-0.0324967487763611,0.0238473150522826,-1.36270052645825,0.172976911860754
"group1:switch1:congruency1",-0.0102279335811637,0.0239467406181059,-0.427111720307794,0.669297956706266
"session1:switch1:congruency1",-0.00535003231441795,0.0237088153296873,-0.225655826325444,0.821469117374402
"group1:session1:switch1:congruency1",-0.0328681970928614,0.0237088038553628,-1.38632877868391,0.165646533061757
