"Effect","Estimate","Std. Error","t value"
"(Intercept)",6.64870593243524,0.0280865729893271,236.721864748745
"group1",0.101565777226694,0.0201240552860428,5.04698361155543
"session1",0.0395670840865759,0.00313414789002983,12.6245108638442
"switch1",-0.0360308514226352,0.00186587053414021,-19.3104777439653
"congruency1",-0.00925644696773466,0.00132799210853909,-6.97025750997691
"cue1",0.00723562043882226,0.000821569667407505,8.8070686222564
"sex1",0.0442994343374094,0.024835136083652,1.78374035029226
"sex2",0.0615418837537292,0.0348972932821228,1.76351452980039
"group1:session1",-0.002992447854711,0.00313414739324116,-0.954788489260034
"group1:switch1",-0.00548524459603894,0.00186587088155628,-2.93977715728316
"session1:switch1",-0.00525309967681785,0.000821638894663583,-6.39344085453588
"group1:congruency1",0.000955557603127022,0.00132799326201952,0.719550038735797
"session1:congruency1",0.00270075388464796,0.000821854554795359,3.28617012449416
"switch1:congruency1",-8.11730976086094e-05,0.000821796681367629,-0.0987751586846537
"group1:session1:switch1",0.00221879686850841,0.000821638941472652,2.70045242078179
"group1:session1:congruency1",2.934144843817e-05,0.000821853890598107,0.0357015386479666
"group1:switch1:congruency1",2.48941282513887e-05,0.000821794018640555,0.0302924184001358
"session1:switch1:congruency1",-0.0014530422910531,0.000821589857611421,-1.76857379334925
"group1:session1:switch1:congruency1",-0.000431573681681767,0.000821590457681284,-0.525290523577607
