"group","session","switch","congruency","m","sd","n","se"
"old","1","repeat","congruent",6.78611984558536,0.226065201427834,47,0.0329749986842409
"old","1","repeat","incongruent",6.80177289118955,0.227728395070805,47,0.0332176004108321
"old","1","switch","congruent",6.87876092812659,0.225116217846231,47,0.0328365752021787
"old","1","switch","incongruent",6.88632700078157,0.213971627649835,47,0.0312109696479338
"old","2","repeat","congruent",6.71726317404725,0.218268189240626,47,0.0318376875678448
"old","2","repeat","incongruent",6.73617073959639,0.220739244360679,47,0.0321981280019221
"old","2","switch","congruent",6.79040818028626,0.222855553956061,47,0.0325068234830595
"old","2","switch","incongruent",6.81697545917574,0.2247161564223,47,0.0327782202459783
"young","1","repeat","congruent",6.59112031466922,0.150752955512812,47,0.0219895785741588
"young","1","repeat","incongruent",6.60879071069122,0.155487720790685,47,0.0226802150711603
"young","1","switch","congruent",6.66944970290079,0.175892500699978,47,0.0256565581191457
"young","1","switch","incongruent",6.68293606355408,0.164103444004257,47,0.0239369474644562
"young","2","repeat","congruent",6.51471601259101,0.157157555867704,47,0.0229237855504725
"young","2","repeat","incongruent",6.53867446768482,0.163380880478206,47,0.0238315507418721
"young","2","switch","congruent",6.55875260005449,0.168442405658868,47,0.0245698500693156
"young","2","switch","incongruent",6.58639310026938,0.16297218981295,47,0.0237719370814592
